lang,sum(followers)
en,440693048
es,59799240
fr,10208992
pt,7770746
und,5044053
ro,4693597
tr,4099357
de,1972274
it,1103952
nl,175587
sv,162682
zh,154949
ca,81594
in,76044
tl,69225
da,50582
lt,43846
ja,43191
et,42381
el,41673
eu,40396
no,40329
fi,25890
pl,25650
cs,25404
lv,24281
ht,21190
fa,13649
ar,9070
cy,6510
ru,6263
is,6131
hi,4902
ko,4066
hu,3868
th,3716
sr,1488
