value,count(1)
en,92458
und,1949
es,1564
fr,677
pt,439
tr,183
de,155
sv,121
zh,103
nl,93
tl,50
it,50
in,43
lt,33
ja,33
eu,31
ht,23
da,23
ca,21
no,21
fi,15
pl,14
th,13
ar,12
fa,12
cs,9
ro,8
cy,6
lv,5
ru,5
ko,4
et,4
hu,3
hi,3
sr,2
el,2
is,1
