en,92458,1,1
und,1949,1,2
es,1564,1,3
fr,677,1,4
pt,439,1,5
tr,183,2,1
de,155,2,2
sv,121,2,3
zh,103,2,4
nl,93,2,5
tl,50,3,1
it,50,3,2
in,43,3,3
lt,33,3,4
ja,33,3,5
eu,31,4,1
ht,23,4,2
da,23,4,3
ca,21,4,4
no,21,4,5
fi,15,5,1
pl,14,5,2
th,13,5,3
ar,12,5,4
fa,12,5,5
cs,9,6,1
ro,8,6,2
cy,6,6,3
lv,5,6,4
ru,5,6,5
