value,count(1)
usprotests koronakriisi usavaalit,2
idiotinchief,2
democrats newyork,2
radailydoodle,2
coronavirus trump,2
trumpvirus trumpvirus trumphasnocredibility trumpthreatensamerica,2
ukraine,2
godwins,2
nesara,2
obama wwg1wga wwg1wgaworldwide qanon qanons q thegreatawakening thestorm,2
bidden2020 trumpknewanddidnothing,2
ftmercado,2
treasonous traitor,2
nevertrump,2
operationpaintdrop,2
unpresidentidiot,2
truethat democrats kasish nobrainer joebidenforpresident2020,2
russianbounty bloodandtreasure,2
blacklivesmatter fucktrump bml,2
wtf,2
fact,2
hildabeast,2
toostupidtobepresident,2
donniedollhands fbarmy dem,2
factsmatter,2
kanyewestforpresident,2
americans,2
trumpliesamericansdie,2
gop,2
maganight,2
mangomussolini,2
missouri trumpvirus trumpmustgo,2
chriswallace fox trump,2
billgates coronavirus,2
kanyerally,2
logo,2
hypocrite donaldthedope,2
expelmitt frexit buygoya deepstatecorruption obamagate fakenewsmedia deepstatecoup scumedia,2
encuesta,2
republicansforbiden,2
aintblackbiden racist bidenisaracist,2
presidementia trumpdementiasyndrome alzheimers,2
thereidout,2
portlandprotest,2
neo neowise bbnaija2020 bbnlockdown mondaythoughts anonymous layconfc,2
torture johnyoo,2
abuseofpower impeachment,2
deborahbirx,2
trumpisanationaldisgrace trumpthreatensamerica,2
armyfortrump maga keepamericagreat trump2020 trump2020landslide,2
deepfake,2
blmterrorists antifaterrorists,2
nyc manhattan queens,2
kanyawest trump black,2
pandemic pandemicresponseteam,2
masks,2
peeinacuptrump,2
conservatives hillaryclinton,2
patriots kag trump2020 voteredtosaveamerica,2
dumptrump,2
greatestgeneration,2
democrats biden,2
vucetichaldiablo,2
byedon2020,2
qanon wwg1gwa,2
trump gopgenocide,2
presidentbiden,2
trumpisnotwell,2
leegreenwood,2
gopcorruptionovercountry,2
dumptrump2020,2
trumpsthugs,2
careermobsters,2
remember2016,2
trumpworld trump,2
qanon gaysfortrump blacksfortrump,2
borderwall,2
amlotraidor,2
daca,2
teamjoe,2
2020election trump,2
votebluetosaveamerica,2
trumporamerica,2
trumpfascistforce,2
martiallaw,2
portlandkidnappings,2
ruinsummerin4words,2
coroanvirus,2
veryscarypeople,2
wehaventseenonestinkininvoice howmuchhasthisfamilyoffnmoochesstolenfromtheustreasury,2
trump americanmonster,2
portland chicago,2
biden trump democrats,2
fucktrump,2
lgtbq,2
bidengate biden trump,2
neverbiden medicareforall metoo,2
lsd,2
hugemystery,2
keeptexasred joebiden,2
votebluetosaveamerica wewantjoe,2
cnnfakenews,2
christiannews,2
erdogan assad kurden,2
stickingwithed mapoli,2
metoo,2
thelincolnproject covid kanyeishelpingtrump2020,2
uyghurmuslims trump china,2
blacklyricistsmatter,2
fascism,2
climate,2
economy obama,2
trumpkillsus,2
michellemalkin antifa blacklivesmatter backtheblue,2
ghislainemaxwell,2
trumpsecretpolice,2
nesara gesara newearth goldstandard fallofcabal 2020vision trump trump2020 wwg1wga,2
foxandfriends morningjoe ccot kag tcot trump2020 mondaythoughts,2
resistance,2
donaldthedope donaldjtrump donaldtrumpisruiningourcountry,2
joebidenforpresident2020,2
truth,2
trumpdeathchart,2
backtheblue,2
neverbidennevertrump,2
wakeupamerica thegreatawakeningworldwide,2
scotus chriswallace,2
florida,2
kamalaharrisforvp,2
roydenhollander,2
satanism,2
wallofmoms stormtroopers federalterrorsquads,2
trumpresignnow,2
maga americafirst,2
bloodontrumpshands,2
ca25,2
trans,2
abuseofpower,2
keepyourchildathome,2
kasich,2
trump coronavirus covid19,2
votejoebiden2020,2
borisconi tory,2
dictatordon criminal,2
vetsresist vetsagainsttrump trumplies,2
biden bidendementia elderabuse,2
whatliberalmedia,2
trump gop maga foxnews,2
venezuela,2
traitordesantis,2
video,2
bluemaga,2
unity2020,2
25thamendmentnow,2
biden2020 biden,2
hellnojoe,2
womenfortrump momsfortrump catholicsfortrump,2
impeachtrumpagain,2
amiright,2
spaceforce,2
flipthesenateblue ridenwithbiden2020,2
intelligence,2
ikyfl,2
ufo,2
bidenisaracist,2
trump covidiotinchief trumpisalaughingstock,2
fireagbarr,2
flipthesenate,2
huawei,2
magatland,2
impeachbarrnow,2
harriettubman,2
onev1 ovttds unpresidentedidiot,2
enmundo,2
wheresron,2
retweet trump dumptrump2020 trumpisanationaldisgrace biden2020,2
americastrongerwithbiden,2
voteredtosaveamerica,2
wwg1gwa qanon trusttrump trump2020 maga miga,2
votebidentosaveamerica,2
greatawakeningworldwide,2
winning,2
deathchart trumpvirus,2
russia,2
eu twitter trump,2
democrats trump,2
hack,2
deutschebank trump russia epstein,2
dementiadon,2
ados,2
unpresidentialidiot deathchart,2
wearamask,2
libertarian,2
election2020 voteforourlives,2
dems4usa,2
ptfb,2
freebritney,2
portland trump,2
trumpvirus trumpviruscatastrophe trumpviruskills145k,2
trumptraitor,2
gotrump,2
grifters,2
benedictdonald,2
nyc rockland defundthepolice,2
trumpepstein,2
pelosi trump,2
gop trump,2
nepa,2
warroomweekly,2
fakenews medialies maga2020landslide,2
dirtyjeff,2
eua,2
vz,2
teamjustice,2
generalstrike,2
keepyourchildhome demcast demcasttx,2
news world sports,2
trumpfailedamerica,2
donniedollhands,2
kanyewest kimkardashian,2
leoenconvoy lay04litdragon mepongorebeldesi yodefiendoaine pielrojinegracharly tenet,2
trumpinvasion congress,2
trumpkillsus trumpviruskills145k trumpfailedamerica,2
countrybeforeparty joebiden,2
bizarre,2
walkingdead,1
portland shithole liberals resist antifa joebiden,1
russianron,1
resister,1
dontsignit,1
dolikemlk,1
kanyewest prolife,1
bunkerbitch,1
maga wwg1wga,1
treasonoustrump,1
trumplieseverytimehespeaks trumpviruscoverup,1
covid usa johnshopkins trump patriottico,1
sendtrumphome,1
trumpstormtroopers,1
trump lies covid19,1
trumpfailedamerica votetrumpout trumpisacompletefailure trumpisasociopath trumpisacriminal,1
politicalviews potus political,1
covidiots,1
fixit,1
godblessamerica voteredtosaveamerica enationtrains trump,1
rememberwhen,1
bidenwarren2020 warrenforvp warrenwarriors,1
privatearmy hs,1
trumpvirus trumpviruscoverup trumpviruscatastrophe trumpviruskills145k,1
drbirx,1
trumpthreatensamerica trumptraitor fascisttrump fascismishere fascistbarr,1
mybodymychoice metoo,1
nickiminaj,1
portland americangestapo,1
nov2,1
wallofmoms bethechange4usa,1
trumpisafuckingtraitor,1
thehagueknowswhattodowithmasskillingfascistpresidents gettrumpskillerasstothehague,1
drdeathinthewhitehouse,1
american truth,1
trump camoshirts,1
fearporn,1
momsarehere,1
joj2020 jo4president votegold helpherwin letjodebate,1
chinajoe dementia,1
trump boris beware,1
biden climate netzero greenhouse gas emissions,1
ripharriet,1
voteblue2020 lol voteredtosaveamerica2020,1
restartmiga,1
iggyazalea kanyewest,1
thesilentmajority trump2020landslide trump2020nowmorethanever,1
nicolewallace mikewallace trump,1
trumpthreatensamerica dumptrump2020 ditchmitch complicitcorruptgop,1
obamagate wwg1wga,1
6monthsfromtoday,1
imagennoticias,1
standuptotrump worstpresidentinhistory,1
joebiden2020,1
pompeo trumpadministration china,1
anythingtobeattrump,1
putinsgop,1
trumpthreatensamerica tre45on trumpcrimefamily,1
msnbc deadlinewh,1
nrknyheterrss,1
stopatrumpcoup,1
lol beijingbiden,1
trumpisanationaldisgrace wallofmoms,1
trumpworld trump chloroquine covid,1
ivanka nepotismbarbie,1
irans,1
uspoli cdnpoli,1
truthbetold,1
trumpsgenocideofamericans,1
taxreturns,1
trumps,1
trumpincitesviolence gestapotrump,1
onlineprotest resist trumpinvasion resist trumpgestapo resist wannabehitler,1
billgates deepstate,1
impeachbarrnow impeachtrumpagain,1
nochriswallace trump2020victory,1
persuasion,1
spiegel,1
pastorkynan kynan kynanbridges sidroth itssupernatural godblessamerica usa,1
canceljoebiden,1
joebiden biden2020 biden,1
etatsunis trump twitter masque,1
gobidenschiff2020 trumpismisfascism trumpismisterrorism realchangebeginswithreform,1
breaking trump,1
istandwithtucker,1
trumpsgestapo inpdx portlandprotests portlandmoms,1
trumpisaracist trumpliesandpeopledie,1
gestapo gestapotrump murdererinchief,1
trump chriswallace covid,1
wewantbiden,1
koronakriisi usavaalit,1
fuckingclowns,1
economy coronavirus,1
divineplan,1
jemelehill trump,1
crime lawandorder newyork chicago oakland baltimore,1
trumpybear coronavirus,1
thefive,1
vote votebidentosaveamerica,1
covidbriefings,1
pandemic,1
grifter,1
trumpvirus trumpkillsus,1
trump dhs,1
covidiots masksareforsheep,1
thebestisyettocome,1
jacksonville,1
trump cognitivetest world quarantined usa,1
taketothestreets,1
keepyourchildrenhome,1
trumpkillsflorida,1
328evfortrump,1
trumpmustgo,1
liberalhypocrisy,1
myusa,1
trumpvirus trumpvirus shitler,1
daynewsfeed,1
diadelaindependencia,1
trump traitorous jackbootedthugs junta,1
trump trumpsupporters donaldtrump usa trumpcampaign patriots trump2020,1
trumpviruskills145k,1
qtheinsanity,1
blmterrorist,1
lockherup lockivankaup hatchact,1
americaortrump trumpisacompletefailure trumpfailedamerica,1
magat,1
closernation,1
obama hillaryclinton epstein pedophiles biden,1
ripgop,1
gop maga2020,1
trump covidiots wearamask,1
leningradlindsey traitormofo,1
solar,1
strongertogether,1
trumpthreatensamerica dumptrump trumpisanationaldisgrace,1
joewalsh,1
democide,1
joycealene,1
thatcretin coronavirustaskforcebriefing,1
potus donaldtrump trump trumpprotest,1
georgefloyd blacklivesmatter usa trump ldna,1
kanyewest 2020vision ydsb,1
makeamericagreatagain,1
damnstraight,1
savethechildren savethechildrenworldwide wwg1wga,1
ag,1
firefauci,1
twitter,1
goldfinger,1
dumbdump,1
comingreichstagfire,1
trump federalagents chicago,1
fascisttrump portland,1
trumpdeathtoll140k trumpgenocide firetrump,1
clearandpresentdanger,1
loveraz eeuu nomastrump trumpout2020 estatutoderoma cpi,1
stophateforprofit,1
id2020 hrtracing666 transhumanism asabovesobelow,1
maga2020 trump2020,1
alburguerquenm,1
manypeople,1
venezolana,1
jemelehill trump trump maga,1
charlottesville,1
ladybug,1
you,1
pride vote2020,1
cadetbonespurs,1
nexstardc,1
usmca winning,1
trumpownseverydeath,1
redpillraven digitalsoldiers qanon wwg1wga trump deepstate,1
louisville,1
coronakrise usa hilfspaket demokraten republikaner,1
justiceday,1
nixon homeishere trumpcountdown vote,1
republicansagainsttrump,1
bfren,1
billbarr,1
racism thursdaymorning,1
barrtifa trumpgestapo,1
trumpsviolentamerica,1
onlyrussianswantkanye kanyeisthechoiceofputin kanyeisaracist boycottkanye kanyeisanembarassment kanyeneedsmeds,1
fakenews enemyofthepeople lamestreammedia,1
markesper,1
falseflag,1
trump maga,1
trump casablanca,1
recklesstrump americaortrump,1
deathoftherepublic,1
goptraitors,1
press,1
projection,1
walkawayfromdemocrats,1
til,1
buttoutofportland,1
vucetichaldiablo fuerachepo,1
secretservice,1
hypocrisy pdxfailure portlandriots recallkatebrown saveourcity,1
god walkaway,1
bribembiden bidenukrainegate,1
boss,1
notinaytv,1
