value,count,Y,X
united states,3043,1,1
usa,1276,1,2
texas,408,1,3
earth,282,1,4
canada,245,1,5
florida,231,2,1
california,224,2,2
new york,223,2,3
los angeles,214,2,4
nyc,188,2,5
new york city,181,3,1
ohio,161,3,2
chicago,155,3,3
colorado,136,3,4
united states of america,101,3,5
planet earth,99,4,1
michigan,96,4,2
arizona,95,4,3
ny,95,4,4
southern california,87,4,5
